Path: Assets/Logs/Right Controller_log_11_6_25_2.txt
Log Speed: 30
(-0.09, 0.78, -5.07), (0.06491, -0.92406, 0.37666, -0.00454),1,
(-0.09, 0.78, -5.07), (0.06507, -0.92407, 0.37661, -0.00457),2,
(-0.09, 0.78, -5.07), (0.06535, -0.92409, 0.37652, -0.00472),3,
(-0.09, 0.78, -5.07), (0.06522, -0.92407, 0.37660, -0.00469),4,
(-0.09, 0.78, -5.07), (0.06503, -0.92408, 0.37660, -0.00460),5,
(-0.09, 0.78, -5.07), (0.06497, -0.92408, 0.37661, -0.00457),6,
(-0.09, 0.78, -5.07), (0.06505, -0.92408, 0.37660, -0.00466),7,
(-0.09, 0.78, -5.07), (0.06514, -0.92408, 0.37658, -0.00467),8,
(-0.09, 0.78, -5.07), (0.06493, -0.92411, 0.37654, -0.00465),9,
(-0.09, 0.78, -5.07), (0.06474, -0.92416, 0.37646, -0.00457),10,
(-0.09, 0.78, -5.07), (0.06493, -0.92415, 0.37644, -0.00466),11,
(-0.09, 0.78, -5.07), (0.06520, -0.92412, 0.37647, -0.00468),12,
(-0.09, 0.78, -5.07), (0.06511, -0.92414, 0.37645, -0.00471),13,
(-0.09, 0.78, -5.07), (0.06479, -0.92419, 0.37638, -0.00465),14,
(-0.09, 0.78, -5.07), (0.06488, -0.92422, 0.37629, -0.00472),15,
(-0.09, 0.78, -5.07), (0.06519, -0.92419, 0.37629, -0.00483),16,
(-0.09, 0.78, -5.07), (0.06520, -0.92416, 0.37638, -0.00468),17,
(-0.09, 0.78, -5.07), (0.06520, -0.92416, 0.37638, -0.00468),18,
(-0.09, 0.78, -5.07), (0.06520, -0.92416, 0.37638, -0.00468),19,
(-0.09, 0.78, -5.07), (0.06520, -0.92416, 0.37638, -0.00468),20,
(-0.09, 0.78, -5.07), (0.06520, -0.92416, 0.37638, -0.00468),21,
(-0.09, 0.78, -5.07), (0.06520, -0.92416, 0.37638, -0.00468),22,
(-0.09, 0.78, -5.07), (0.06520, -0.92416, 0.37638, -0.00468),23,
