Path: Assets/Logs/Left Controller_log_11_6_25_2.txt
Log Speed: 30
(-0.19, 0.76, -5.05), (-0.08700, 0.91998, -0.37845, 0.05337),1,
(-0.19, 0.76, -5.05), (-0.08698, 0.91997, -0.37847, 0.05347),2,
(-0.19, 0.76, -5.05), (-0.08708, 0.91997, -0.37844, 0.05348),3,
(-0.19, 0.76, -5.05), (-0.08689, 0.91998, -0.37846, 0.05344),4,
(-0.19, 0.76, -5.05), (-0.08698, 0.92000, -0.37841, 0.05332),5,
(-0.19, 0.76, -5.05), (-0.08687, 0.92007, -0.37827, 0.05331),6,
(-0.19, 0.76, -5.05), (-0.08711, 0.91999, -0.37841, 0.05321),7,
(-0.19, 0.76, -5.05), (-0.08707, 0.91997, -0.37847, 0.05323),8,
(-0.19, 0.76, -5.05), (-0.08706, 0.91997, -0.37848, 0.05320),9,
(-0.19, 0.76, -5.05), (-0.08701, 0.91998, -0.37847, 0.05315),10,
(-0.19, 0.76, -5.05), (-0.08692, 0.92002, -0.37841, 0.05298),11,
(-0.19, 0.76, -5.05), (-0.08696, 0.92003, -0.37836, 0.05307),12,
(-0.19, 0.76, -5.05), (-0.08697, 0.92002, -0.37836, 0.05324),13,
(-0.19, 0.76, -5.05), (-0.08694, 0.92001, -0.37841, 0.05319),14,
(-0.19, 0.76, -5.05), (-0.08685, 0.92005, -0.37833, 0.05322),15,
(-0.19, 0.76, -5.05), (-0.08682, 0.92004, -0.37834, 0.05328),16,
(-0.19, 0.76, -5.05), (-0.08689, 0.92020, -0.37798, 0.05311),17,
(-0.19, 0.76, -5.05), (-0.08689, 0.92020, -0.37798, 0.05311),18,
(-0.19, 0.76, -5.05), (-0.08689, 0.92020, -0.37798, 0.05311),19,
(-0.19, 0.76, -5.05), (-0.08689, 0.92020, -0.37798, 0.05311),20,
(-0.19, 0.76, -5.05), (-0.08689, 0.92020, -0.37798, 0.05311),21,
(-0.19, 0.76, -5.05), (-0.08689, 0.92020, -0.37798, 0.05311),22,
(-0.19, 0.76, -5.05), (-0.08689, 0.92020, -0.37798, 0.05311),23,
(-0.19, 0.76, -5.05), (-0.08689, 0.92020, -0.37798, 0.05311),24,
(-0.19, 0.76, -5.05), (-0.08689, 0.92020, -0.37798, 0.05311),25,
(-0.19, 0.76, -5.05), (-0.08670, 0.92016, -0.37811, 0.05316),26,
(-0.19, 0.76, -5.05), (-0.08656, 0.92012, -0.37823, 0.05315),27,
(-0.19, 0.76, -5.05), (-0.08658, 0.92010, -0.37828, 0.05318),28,
(-0.19, 0.76, -5.05), (-0.08674, 0.92019, -0.37801, 0.05319),29,
(-0.19, 0.76, -5.05), (-0.08684, 0.92010, -0.37823, 0.05313),30,
(-0.19, 0.76, -5.05), (-0.08673, 0.92015, -0.37815, 0.05296),31,
(-0.19, 0.76, -5.05), (-0.08694, 0.92013, -0.37813, 0.05310),32,
(-0.19, 0.76, -5.05), (-0.08694, 0.92013, -0.37813, 0.05310),33,
(-0.19, 0.76, -5.05), (-0.08690, 0.92018, -0.37802, 0.05307),34,
(-0.19, 0.76, -5.05), (-0.08692, 0.92013, -0.37816, 0.05297),35,
(-0.19, 0.76, -5.05), (-0.08674, 0.92016, -0.37812, 0.05298),36,
(-0.19, 0.76, -5.05), (-0.08678, 0.92018, -0.37805, 0.05304),37,
(-0.19, 0.76, -5.05), (-0.08692, 0.92015, -0.37809, 0.05304),38,
(-0.19, 0.76, -5.05), (-0.08696, 0.92005, -0.37832, 0.05306),39,
(-0.19, 0.76, -5.05), (-0.08707, 0.92010, -0.37819, 0.05293),40,
